last_name,first_name,birth_date,middle_name
Смирнов,Александр,1979-02-16,Ааронович
Иванов,Дмитрий,1986-04-27,Абрамович
Кузнецов,Максим,1971-11-26,Августович
Соколов,Сергей,1998-02-04,Авдеевич
Попов,Андрей,1980-07-16,Аверьянович
Лебедев,Алексей,1987-09-15,Адамович
Козлов,Артём,1975-02-21,Адрианович
Новиков,Илья,1975-02-14,Акимович
Морозов,Кирилл,1989-09-30,Аксёнович
Петров,Михаил,1986-05-08,Александрович
Волков,Никита,1972-11-07,Алексеевич
Соловьёв,Матвей,1991-02-16,Анатольевич
Васильев,Роман,1985-08-03,Андреевич
Зайцев,Егор,1979-09-03,Андроникович
Павлов,Арсений,1993-10-26,Анисимович
Семёнов,Иван,2000-09-03,Антипович
Голубев,Денис,1980-02-02,Антонович
Виноградов,Евгений,1977-04-12,Ануфриевич
Богданов,Даниил,1977-03-22,Аркадьевич
Воробьёв,Тимофей,1994-08-05,Арсенович
Фёдоров,Владислав,1978-11-09,Арсеньевич
Михайлов,Игорь,1971-09-24,Артёмович
Беляев,Владимир,1989-12-24,Артемьевич
Тарасов,Павел,1995-09-06,Артурович
Белов,Руслан,1973-10-08,Архипович
Комаров,Марк,1975-11-25,Афанасьевич
Орлов,Константин,1976-08-09,Ахматович
Киселёв,Тимур,1979-12-05,Батькович
Макаров,Олег,1972-07-03,Бедросович
Андреев,Ярослав,1979-06-08,Бенедиктович
Ковалёв,Антон,1976-10-12,Богданович
Ильин,Николай,1998-02-24,Бориславич
Гусев,Глеб,1989-11-20,Бориславович
Титов,Данил,1989-06-10,Борисович
Кузьмин,Савелий,1990-05-24,Борисыч
Кудрявцев,Вадим,1989-07-24,Брониславович
Баранов,Степан,1978-12-07,Ваганович
Куликов,Юрий,1995-01-06,Вадимович
Алексеев,Богдан,1980-08-06,Валентинович
Степанов,Артур,1996-03-17,Валерианович
Яковлев,Семен,1990-02-27,Валерьевич
Сорокин,Макар,1984-01-28,Валерьянович
Сергеев,Лев,1995-01-19,Васильевич
Романов,Виктор,1988-03-24,Вахтангович
Захаров,Елисей,2000-08-24,Венедиктович
Борисов,Виталий,1988-07-29,Вениаминович
Королёв,Вячеслав,1983-02-07,Викентьевич
Герасимов,Захар,1995-04-01,Викторович
Пономарёв,Мирон,1990-05-06,Виленович
Григорьев,Дамир,1980-04-02,Вилорович
Лазарев,Георгий,1973-09-25,Виссарионович
Медведев,Давид,1973-04-05,Витальевич
Ершов,Платон,1988-12-11,Владиленович
Никитин,Анатолий,1991-08-14,Владимирович
Соболев,Григорий,1984-11-18,Владиславович
Рябов,Демид,1970-06-27,Владленович
Поляков,Данила,1989-01-12,Власович
Цветков,Станислав,1990-05-14,Вольфович
Данилов,Василий,1996-04-30,Всеволодович
Жуков,Федор,1979-08-01,Вячеславович
Фролов,Родион,1983-01-23,Гавриилович
Журавлёв,Леонид,1979-05-03,Гаврилович
Николаев,Одиссей,1989-09-05,Гаджиевич
Крылов,Валерий,1983-12-22,Геннадиевич
Максимов,Святослав,1977-03-02,Геннадьевич
Сидоров,Борис,1970-05-28,Генрихович
Осипов,Эдуард,1981-09-16,Георгиевич
Белоусов,Марат,1998-12-14,Герасимович
Федотов,Герман,1990-11-05,Германович
Дорофеев,Даниэль,1998-09-04,Гертрудович
Егоров,Петр,1971-12-18,Глебович
Матвеев,Амир,1992-10-10,Гордеевич
Бобров,Всеволод,1996-12-05,Григорьевич
Дмитриев,Мирослав,1997-08-08,Гурьевич
Калинин,Гордей,1986-05-06,Давидович
Анисимов,Артемий,1997-08-05,Давыдович
Петухов,Эмиль,1971-02-10,Даниилович
Антонов,Назар,1973-09-25,Данилович
Тимофеев,Савва,1978-11-10,Демидович
Никифоров,Ян,1974-02-24,Демьянович
Веселов,Рустам,1981-11-28,Денисович
Филиппов,Игнат,1994-07-06,Димитриевич
Марков,Влад,1974-02-14,Дмитриевич
Большаков,Альберт,1976-04-07,Дорофеевич
Суханов,Тамерлан,1984-12-31,Евгеньевич
Миронов,Айдар,1975-08-14,Евграфович
Ширяев,Роберт,1975-06-21,Евдокимович
Александров,Адель,2000-07-11,Евсеевич
Коновалов,Марсель,1999-11-11,Евстигнеевич
Шестаков,Ильдар,1975-11-28,Егорович
Казаков,Самир,1998-09-06,Елизарович
Ефимов,Тихон,1978-05-04,Елисеевич
Денисов,Рамиль,1996-04-10,Емельянович
Громов,Ринат,1986-01-13,Еремеевич
Фомин,Радмир,1984-06-19,Ермилович
Давыдов,Филипп,1975-08-02,Ермолаевич
Мельников,Арсен,1981-08-04,Ерофеевич
Щербаков,Ростислав,1983-05-30,Ефимович
Блинов,Святогор,1994-02-02,Ефимьевич
Колесников,Яромир,1981-03-19,Ефремович
